filename,label,area,equivalent_diameter,centroid-0,centroid-1,area_sqmicron,eq_diam_micron
"25 mM 2 uM.tif [slice 0, PNG-style]",1,4.0,2.256758334191025,62.5,282.5,0.16,0.45135166683820505
"25 mM 2 uM.tif [slice 0, PNG-style]",2,16.0,4.51351666838205,66.0,282.5,0.64,0.9027033336764101
"25 mM 2 uM.tif [slice 0, PNG-style]",3,20.0,5.046265044040321,72.4,551.1,0.8,1.0092530088080642
"25 mM 2 uM.tif [slice 0, PNG-style]",4,12.0,3.9088200952233594,76.0,551.5,0.48,0.7817640190446719
"25 mM 2 uM.tif [slice 0, PNG-style]",5,52.0,8.136857890256438,79.73076923076923,529.2692307692307,2.08,1.6273715780512876
"25 mM 2 uM.tif [slice 0, PNG-style]",6,60.0,8.740387444736633,97.3,527.7,2.4,1.7480774889473267
"25 mM 2 uM.tif [slice 0, PNG-style]",7,84.0,10.341765891652821,103.64285714285714,535.7380952380952,3.36,2.068353178330564
"25 mM 2 uM.tif [slice 0, PNG-style]",8,5.0,2.5231325220201604,128.8,254.4,0.2,0.5046265044040321
"25 mM 2 uM.tif [slice 0, PNG-style]",9,10.0,3.5682482323055424,131.9,255.1,0.4,0.7136496464611085
"25 mM 2 uM.tif [slice 0, PNG-style]",10,44.0,7.48482063701911,133.04545454545453,297.77272727272725,1.76,1.4969641274038221
"25 mM 2 uM.tif [slice 0, PNG-style]",11,13.0,4.068428945128219,133.76923076923077,259.0,0.52,0.8136857890256438
"25 mM 2 uM.tif [slice 0, PNG-style]",12,32.0,6.383076486422923,138.25,322.75,1.28,1.2766152972845846
"25 mM 2 uM.tif [slice 0, PNG-style]",13,44.0,7.48482063701911,139.4090909090909,285.40909090909093,1.76,1.4969641274038221
"25 mM 2 uM.tif [slice 0, PNG-style]",14,36.0,6.770275002573076,142.94444444444446,1007.6111111111111,1.44,1.3540550005146152
"25 mM 2 uM.tif [slice 0, PNG-style]",15,38.0,6.955796338302048,143.94736842105263,600.6052631578947,1.52,1.3911592676604096
"25 mM 2 uM.tif [slice 0, PNG-style]",16,14.0,4.222008245644752,149.35714285714286,250.14285714285714,0.56,0.8444016491289504
"25 mM 2 uM.tif [slice 0, PNG-style]",17,30.0,6.180387232371033,149.73333333333332,598.5,1.2,1.2360774464742066
"25 mM 2 uM.tif [slice 0, PNG-style]",18,6.0,2.763953195770684,150.5,254.0,0.24,0.5527906391541368
"25 mM 2 uM.tif [slice 0, PNG-style]",19,36.0,6.770275002573076,152.27777777777777,570.9444444444445,1.44,1.3540550005146152
"25 mM 2 uM.tif [slice 0, PNG-style]",20,7.0,2.985410660720923,152.42857142857142,341.7142857142857,0.28,0.5970821321441846
"25 mM 2 uM.tif [slice 0, PNG-style]",21,49.0,7.898654169668588,156.26530612244898,335.42857142857144,1.96,1.5797308339337177
"25 mM 2 uM.tif [slice 0, PNG-style]",22,12.0,3.9088200952233594,157.5,183.0,0.48,0.7817640190446719
"25 mM 2 uM.tif [slice 0, PNG-style]",23,16.0,4.51351666838205,158.25,186.125,0.64,0.9027033336764101
"25 mM 2 uM.tif [slice 0, PNG-style]",24,28.0,5.970821321441846,157.92857142857142,586.5,1.12,1.1941642642883692
"25 mM 2 uM.tif [slice 0, PNG-style]",25,12.0,3.9088200952233594,167.0,865.5,0.48,0.7817640190446719
"25 mM 2 uM.tif [slice 0, PNG-style]",26,48.0,7.817640190446719,167.66666666666666,1009.1666666666666,1.92,1.5635280380893437
"25 mM 2 uM.tif [slice 0, PNG-style]",27,20.0,5.046265044040321,170.6,864.3,0.8,1.0092530088080642
"25 mM 2 uM.tif [slice 0, PNG-style]",28,24.0,5.527906391541368,189.16666666666666,347.8333333333333,0.96,1.1055812783082737
"25 mM 2 uM.tif [slice 0, PNG-style]",29,20.0,5.046265044040321,216.1,289.7,0.8,1.0092530088080642
"25 mM 2 uM.tif [slice 0, PNG-style]",30,32.0,6.383076486422923,222.0,947.25,1.28,1.2766152972845846
"25 mM 2 uM.tif [slice 0, PNG-style]",31,36.0,6.770275002573076,228.5,1000.5,1.44,1.3540550005146152
"25 mM 2 uM.tif [slice 0, PNG-style]",32,40.0,7.136496464611085,228.1,1010.7,1.6,1.427299292922217
"25 mM 2 uM.tif [slice 0, PNG-style]",33,7.0,2.985410660720923,238.42857142857142,961.2857142857143,0.28,0.5970821321441846
"25 mM 2 uM.tif [slice 0, PNG-style]",34,16.0,4.51351666838205,238.375,405.75,0.64,0.9027033336764101
"25 mM 2 uM.tif [slice 0, PNG-style]",35,39.0,7.046725639945928,240.15384615384616,968.3333333333334,1.56,1.4093451279891855
"25 mM 2 uM.tif [slice 0, PNG-style]",36,54.0,8.291859587312052,241.16666666666666,977.7037037037037,2.16,1.6583719174624103
"25 mM 2 uM.tif [slice 0, PNG-style]",37,12.0,3.9088200952233594,242.0,405.5,0.48,0.7817640190446719
"25 mM 2 uM.tif [slice 0, PNG-style]",38,28.0,5.970821321441846,282.5,145.07142857142858,1.12,1.1941642642883692
"25 mM 2 uM.tif [slice 0, PNG-style]",39,21.0,5.170882945826411,286.95238095238096,577.5714285714286,0.84,1.034176589165282
"25 mM 2 uM.tif [slice 0, PNG-style]",40,31.0,6.282549314314218,292.1290322580645,573.9677419354839,1.24,1.2565098628628435
"25 mM 2 uM.tif [slice 0, PNG-style]",41,72.0,9.574614729634384,306.72222222222223,108.83333333333333,2.88,1.9149229459268766
"25 mM 2 uM.tif [slice 0, PNG-style]",42,44.0,7.48482063701911,309.95454545454544,995.0454545454545,1.76,1.4969641274038221
"25 mM 2 uM.tif [slice 0, PNG-style]",43,52.0,8.136857890256438,370.65384615384613,992.0384615384615,2.08,1.6273715780512876
"25 mM 2 uM.tif [slice 0, PNG-style]",44,24.0,5.527906391541368,371.5,935.5,0.96,1.1055812783082737
"25 mM 2 uM.tif [slice 0, PNG-style]",45,20.0,5.046265044040321,377.7,998.9,0.8,1.0092530088080642
"25 mM 2 uM.tif [slice 0, PNG-style]",46,12.0,3.9088200952233594,383.0,871.5,0.48,0.7817640190446719
"25 mM 2 uM.tif [slice 0, PNG-style]",47,20.0,5.046265044040321,387.0,871.5,0.8,1.0092530088080642
"25 mM 2 uM.tif [slice 0, PNG-style]",48,20.0,5.046265044040321,409.7,930.9,0.8,1.0092530088080642
"25 mM 2 uM.tif [slice 0, PNG-style]",49,12.0,3.9088200952233594,419.0,993.5,0.48,0.7817640190446719
"25 mM 2 uM.tif [slice 0, PNG-style]",50,28.0,5.970821321441846,422.5,169.92857142857142,1.12,1.1941642642883692
"25 mM 2 uM.tif [slice 0, PNG-style]",51,12.0,3.9088200952233594,422.0,993.5,0.48,0.7817640190446719
